RASSF1,RASSF2,RASSF3,RASSF4,RASSF5,RASSF6,RASSF7,RASSF8,RASSF9,RASSF10,Sample,Patient_ID
538.188,2268.7,1069.25,704.642,242.58,0.7915,218.441,474.08,1.5829,3.9573,TCGA-D3-A3MU-06,TCGA-D3-A3MU
668.995,278.722,405.723,711.02,245.041,0,99.1906,632.842,1.854,0,TCGA-D3-A3MV-06,TCGA-D3-A3MV
857.388,2480.24,2422.68,1173.11,475.086,4.7251,652.491,677.835,1.7182,0.4296,TCGA-D3-A51E-06,TCGA-D3-A51E
1670.03,1355.23,210.833,5625.47,2488.41,8.7327,315.209,400.873,18.2971,1.2475,TCGA-D3-A51F-06,TCGA-D3-A51F
1115.3,179.84,153.372,478.97,226.251,0,160.261,2124,2.9007,0.7252,TCGA-D3-A51G-06,TCGA-D3-A51G
1084.93,3130.27,270.753,2280.33,2708.17,33.8442,446.999,556.194,5.7471,1.2771,TCGA-D3-A51H-06,TCGA-D3-A51H
616.978,863.922,852.072,1384.19,1002.68,1.5291,319.575,638.385,3.8227,0,TCGA-D3-A51J-06,TCGA-D3-A51J
729.751,427.57,59.9688,693.146,322.43,0,418.224,77.1028,0,31.9315,TCGA-D3-A51K-06,TCGA-D3-A51K
1227.87,243.566,254.865,1047.08,546.139,2.511,355.932,626.491,0.6277,1.8832,TCGA-D3-A51N-06,TCGA-D3-A51N
381.142,246.904,559.968,270.395,109.788,0,213.823,706.671,8.1502,0.9588,TCGA-D3-A51R-06,TCGA-D3-A51R
881.703999999999,2083.71,2188.97,599.935,246.115,3.5088,737.845,1581.95,1.5038,1.5038,TCGA-D3-A51T-06,TCGA-D3-A51T
729.419,106.645,436.756,400.936,54.9506,0,209.22,1510.94,3.2563,0,TCGA-D3-A5GL-06,TCGA-D3-A5GL
457.711,1028.96,264.083,577.841,277.769,3.0413,97.8274,1707.16,11.6582,5.5757,TCGA-D3-A5GN-06,TCGA-D3-A5GN
1023.12,319.062,331.895,657.94,189.844,0,438.544,533.687,0,0,TCGA-D3-A5GO-06,TCGA-D3-A5GO
474.435,1101.86,461.356,851.367,944.51,30.1229,145.858,1145.86,4.3599,1.5854,TCGA-D3-A5GR-06,TCGA-D3-A5GR
538.653,3600,488.778,798.005,301.247,0.4988,319.202,448.379,4.9875,1.4963,TCGA-D3-A5GS-06,TCGA-D3-A5GS
724.497,495.16,1221.89,428.89,102.755,0,247.208,528.667,1.4892,0.7446,TCGA-D3-A5GT-01,TCGA-D3-A5GT
491.461,296.501,1119.21,640.84,276.193,0.9026,92.9669,606.09,4.0617,7.2207,TCGA-D3-A5GU-06,TCGA-D3-A5GU
972.078,1483.37,179.037,1951.45,891.259,10.6637,479.865,267.153,21.8886,0,TCGA-D3-A8GB-06,TCGA-D3-A8GB
670.794,1718.56,570.267,504.112,206.597,10.3483,242.447,1007.48,2.5871,0.7392,TCGA-D3-A8GC-06,TCGA-D3-A8GC
899.193,2318.9,501.421,2460.28,1317.42,5.4552,390.044,322.309,0.4546,0.9092,TCGA-D3-A8GD-06,TCGA-D3-A8GD
937.989,2595.12,99.4774,815.856,584.015,1.2435,139.683,887.007,8.7043,9.5333,TCGA-D3-A8GE-06,TCGA-D3-A8GE
2426.41,239.964,478.144,160.178,78.5013,0,640.5,443.354,0.8921,15.165,TCGA-D3-A8GI-06,TCGA-D3-A8GI
588.518,1407.59,285.092,1866.85,806.234,3.6668,270.425,330.927,8.2503,0,TCGA-D3-A8GJ-06,TCGA-D3-A8GJ
1213.64,68.4459,1294.34,296.769,24.0072,0.5108,230.367,930.66,0,2.0432,TCGA-D3-A8GK-06,TCGA-D3-A8GK
1299.26,352.627,1563.22,209.77,23.399,0,180.624,1708.13,4.1051,0,TCGA-D3-A8GL-06,TCGA-D3-A8GL
872.937,1443.16,1752.31,559.021,283.755,7.4494,258.698,1904.68,2.7089,2.0317,TCGA-D3-A8GM-06,TCGA-D3-A8GM
606.576,1658.16,168.367,869.048,702.381,17.0068,226.757,358.844,2.2676,0,TCGA-D3-A8GN-06,TCGA-D3-A8GN
777.362,553.376,68.2737,404.252,600.09,19.1645,398.862,373.709,2.9945,0,TCGA-D3-A8GO-06,TCGA-D3-A8GO
303.542,144.414,777.112,138.965,40.8719,0.545,73.5695,595.095,1.0899,0.545,TCGA-D3-A8GP-06,TCGA-D3-A8GP
528.461,164.91,172.406,582.338,1517.92,8.9014,295.62,1993.91,21.0822,9.8384,TCGA-D3-A8GQ-06,TCGA-D3-A8GQ
